PayloadReused,Flights,Legs,Reused,GridFins,CoreReusedCount,Block,Success,PayloadMass_sqrt,Year,Orbit_GEO,Orbit_GTO,Orbit_HEO,Orbit_ISS,Orbit_LEO,Orbit_MEO,Orbit_PO,Orbit_SSO,Orbit_VLEO,LaunchSite_KSC LC 39A,LaunchSite_VAFB SLC 4E
0,1,0,0,0,0,1,0,78.25309991980397,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,22.9128784747792,3,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,26.019223662515376,4,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,22.360679774997898,4,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0,56.302753041036986,4,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,57.66281297335398,5,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,47.916594202843754,5,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,36.27671429443411,5,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,67.34240862933252,5,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,66.5432190384565,5,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,47.07440918375928,5,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,48.938737212968626,6,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1,23.874672772626646,6,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,43.56604182158393,6,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,68.60757975617562,6,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,49.76946855251722,6,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1,45.09988913511872,6,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,0,23.515952032609693,7,0,0,0,0,0,0,1,0,0,0,1
