PayloadReused,Flights,Legs,Reused,GridFins,CoreReusedCount,Block,Success,PayloadMass_cat,Year,Orbit_GEO,Orbit_GTO,Orbit_HEO,Orbit_ISS,Orbit_LEO,Orbit_MEO,Orbit_PO,Orbit_SSO,Orbit_VLEO,LaunchSite_KSC LC 39A,LaunchSite_VAFB SLC 4E
0,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0,2,4,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,2,5,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,5,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,2,5,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,2,5,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,1,6,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,3,6,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,1,6,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,6,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,1,0,1,0,3,7,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,2,1,2,7,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,2,1,2,7,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,2,1,1,7,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,2,1,1,7,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,2,1,2,7,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,3,0,3,7,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,3,1,4,8,0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,1,1,3,1,1,8,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,3,0,3,8,0,1,0,0,0,0,0,0,0,1,0
0,2,1,1,1,1,2,1,3,8,0,1,0,0,0,0,0,0,0,1,0
0,1,1,0,1,1,3,1,3,8,0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,3,0,3,8,0,1,0,0,0,0,0,0,0,1,0
1,1,1,0,1,1,3,1,1,8,0,0,0,1,0,0,0,0,0,1,0
0,2,1,1,1,1,3,1,2,8,0,1,0,0,0,0,0,0,0,1,0
0,1,1,0,1,1,3,1,4,8,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,3,0,4,8,0,1,0,0,0,0,0,0,0,1,0
0,1,1,0,1,1,4,1,1,8,0,0,0,1,0,0,0,0,0,1,0
0,1,1,0,1,1,3,1,0,8,0,0,0,0,0,0,0,1,0,0,1
0,1,1,0,1,1,4,1,3,8,0,0,0,0,1,0,0,0,0,1,0
0,1,1,0,1,1,4,1,4,8,0,0,0,0,0,0,1,0,0,0,1
0,2,1,1,1,1,3,1,3,8,0,1,0,0,0,0,0,0,0,1,0
0,1,1,0,1,0,4,1,2,8,0,1,0,0,0,0,0,0,0,1,0
1,2,1,1,1,1,3,1,0,8,0,0,0,1,0,0,0,0,0,0,0
0,2,0,1,1,1,3,1,4,8,0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,1,1,4,1,3,9,0,0,0,0,1,0,0,0,0,0,0
0,2,1,1,1,1,3,1,2,9,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,4,0,3,9,0,1,0,0,0,0,0,0,0,0,0
0,2,1,1,1,1,4,0,4,9,0,0,0,0,0,0,1,0,0,0,1
1,2,1,1,1,1,4,0,1,9,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,1,4,1,0,9,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,1,3,5,1,2,9,0,1,0,0,0,0,0,0,0,1,0
0,2,0,1,0,1,4,0,3,9,0,1,0,0,0,0,0,0,0,0,0
1,2,0,1,0,1,4,0,1,9,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,2,5,1,4,9,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,4,5,1,4,9,0,0,0,0,0,0,1,0,0,0,1
0,2,1,1,1,3,5,1,3,9,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,9,5,1,4,9,0,1,0,0,0,0,0,0,0,0,0
0,2,1,1,1,4,5,1,1,9,0,0,0,0,0,0,0,1,0,0,1
0,2,1,1,1,2,5,1,1,9,0,1,0,0,0,0,0,0,0,1,0
0,3,1,1,1,3,5,1,2,9,0,0,0,0,0,0,0,1,0,0,1
1,1,1,0,1,0,5,0,1,9,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,5,0,2,9,0,0,0,0,0,1,0,0,0,0,0
0,2,1,1,1,9,5,1,4,10,0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,1,12,5,1,5,10,0,0,0,1,0,0,0,0,0,1,0
1,1,1,0,1,3,5,1,1,10,0,0,0,1,0,0,0,0,0,0,0
0,3,1,1,1,9,5,1,5,10,0,0,0,0,0,0,0,0,1,0,0
0,2,1,1,1,12,5,1,0,10,0,0,0,0,0,0,0,1,0,0,1
1,2,1,1,1,3,5,1,1,10,0,0,0,1,0,0,0,0,0,0,0
0,3,0,1,0,2,5,0,4,10,0,1,0,0,0,0,0,0,0,0,0
0,4,1,1,1,4,5,1,5,10,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,1,5,5,1,3,10,0,0,0,1,0,0,0,0,0,0,0
0,3,1,1,1,3,5,1,4,10,0,1,0,0,0,0,0,0,0,0,0
0,4,1,1,1,9,5,1,5,11,0,0,0,0,0,0,0,0,1,0,0
0,4,0,1,0,3,5,0,3,11,0,0,0,0,0,0,0,1,0,1,0
0,3,1,1,1,12,5,1,5,11,0,0,0,0,0,0,0,0,1,0,0
0,4,1,1,1,3,5,0,5,11,0,0,0,0,0,0,0,0,1,0,0
1,2,1,1,1,5,5,1,0,11,0,0,0,1,0,0,0,0,0,0,0
0,5,1,1,1,4,5,0,5,11,0,0,0,0,0,0,0,0,1,1,0
0,4,1,1,1,12,5,1,5,11,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,1,13,5,1,4,11,0,0,0,1,0,0,0,0,0,1,0
0,5,1,1,1,9,5,1,5,11,0,0,0,0,0,0,0,0,1,0,0
0,3,1,1,1,5,5,1,5,11,0,0,0,0,0,0,0,0,1,0,0
0,1,1,0,1,12,5,1,2,11,0,0,0,0,0,1,0,0,0,0,0
0,2,1,1,1,13,5,1,3,11,1,0,0,0,0,0,0,0,0,0,0
0,6,1,1,1,9,5,1,5,11,0,0,0,0,0,0,0,0,1,0,0
0,4,1,1,1,5,5,1,0,11,0,0,0,0,0,0,0,1,0,0,0
0,2,1,1,1,12,5,1,5,11,0,0,0,0,0,0,0,0,1,1,0
0,3,1,1,1,13,5,1,5,11,0,0,0,0,0,0,0,0,1,1,0
