FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,PayloadReused,LaunchSite,Latitude,Longitude,PlatformSuccessRatio,Flights,Legs,Reused,LandingPad,GridFins,CoreReusedCount,Serial,Block,Outcome,Success
1,2010-06-04,Falcon 9,6123.547647058824,LEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,False,False,,False,0,B0003,1.0,None None,0
2,2012-05-22,Falcon 9,525.0,LEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,False,False,,False,0,B0005,1.0,None None,0
3,2013-03-01,Falcon 9,677.0,ISS,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,False,False,,False,0,B0007,1.0,None None,0
4,2013-09-29,Falcon 9,500.0,PO,False,VAFB SLC 4E,34.632093,-120.610829,0.9643,1,False,False,,False,0,B1003,1.0,False Ocean,0
5,2013-12-03,Falcon 9,3170.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,False,False,,False,0,B1004,1.0,None None,0
6,2014-01-06,Falcon 9,3325.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,False,False,,False,0,B1005,1.0,None None,0
7,2014-04-18,Falcon 9,2296.0,ISS,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,,False,0,B1006,1.0,True Ocean,1
8,2014-07-14,Falcon 9,1316.0,LEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,,False,0,B1007,1.0,True Ocean,1
9,2014-08-05,Falcon 9,4535.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,False,False,,False,0,B1008,1.0,None None,0
10,2014-09-07,Falcon 9,4428.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,False,False,,False,0,B1011,1.0,None None,0
11,2014-09-21,Falcon 9,2216.0,ISS,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,False,False,,False,0,B1010,1.0,False Ocean,0
12,2015-01-10,Falcon 9,2395.0,ISS,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,JRTI-1,True,0,B1012,1.0,False ASDS,0
13,2015-02-11,Falcon 9,570.0,ES-L1,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,,True,0,B1013,1.0,True Ocean,1
14,2015-04-14,Falcon 9,1898.0,ISS,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,JRTI-1,True,0,B1015,1.0,False ASDS,0
15,2015-04-27,Falcon 9,4707.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,False,False,,False,0,B1016,1.0,None None,0
16,2015-06-28,Falcon 9,2477.0,ISS,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,OCISLY,True,0,B1018,1.0,None ASDS,0
17,2015-12-22,Falcon 9,2034.0,LEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,LZ-1,True,0,B1019,1.0,True RTLS,1
18,2016-01-17,Falcon 9,553.0,PO,False,VAFB SLC 4E,34.632093,-120.610829,0.9643,1,True,False,JRTI,True,0,B1017,1.0,False ASDS,0
19,2016-03-04,Falcon 9,5271.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,OCISLY,True,0,B1020,1.0,False ASDS,0
20,2016-04-08,Falcon 9,3136.0,ISS,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,OCISLY,True,1,B1021,2.0,True ASDS,1
21,2016-05-06,Falcon 9,4696.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,OCISLY,True,0,B1022,2.0,True ASDS,1
22,2016-05-27,Falcon 9,3100.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,OCISLY,True,1,B1023,2.0,True ASDS,1
23,2016-07-18,Falcon 9,2257.0,ISS,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,LZ-1,True,1,B1025,2.0,True RTLS,1
24,2016-08-14,Falcon 9,4600.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,OCISLY,True,0,B1026,2.0,True ASDS,1
25,2016-09-01,Falcon 9,5500.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,OCISLY,True,0,B1028,3.0,None ASDS,0
26,2017-01-14,Falcon 9,9600.0,PO,False,VAFB SLC 4E,34.632093,-120.610829,0.9643,1,True,False,JRTI,True,1,B1029,3.0,True ASDS,1
27,2017-02-19,Falcon 9,2490.0,ISS,False,KSC LC 39A,28.6080585,-80.6039558,1.0,1,True,False,LZ-1,True,1,B1031,3.0,True RTLS,1
28,2017-03-16,Falcon 9,5600.0,GTO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,1,False,False,,False,0,B1030,3.0,None None,0
29,2017-03-30,Falcon 9,5300.0,GTO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,2,True,True,OCISLY,True,1,B1021,2.0,True ASDS,1
30,2017-05-01,Falcon 9,6123.547647058824,LEO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,1,True,False,LZ-1,True,1,B1032,3.0,True RTLS,1
31,2017-05-15,Falcon 9,6070.0,GTO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,1,False,False,,False,0,B1034,3.0,None None,0
32,2017-06-03,Falcon 9,2708.0,ISS,True,KSC LC 39A,28.6080585,-80.6039558,1.0,1,True,False,LZ-1,True,1,B1035,3.0,True RTLS,1
33,2017-06-23,Falcon 9,3669.0,GTO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,2,True,True,OCISLY,True,1,B1029,3.0,True ASDS,1
34,2017-06-25,Falcon 9,9600.0,PO,False,VAFB SLC 4E,34.632093,-120.610829,0.9643,1,True,False,JRTI,True,1,B1036,3.0,True ASDS,1
35,2017-07-05,Falcon 9,6761.0,GTO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,1,False,False,,False,0,B1037,3.0,None None,0
36,2017-08-14,Falcon 9,2910.0,ISS,False,KSC LC 39A,28.6080585,-80.6039558,1.0,1,True,False,LZ-1,True,1,B1039,4.0,True RTLS,1
37,2017-08-24,Falcon 9,475.0,SSO,False,VAFB SLC 4E,34.632093,-120.610829,0.9643,1,True,False,JRTI,True,1,B1038,3.0,True ASDS,1
38,2017-09-07,Falcon 9,4990.0,LEO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,1,True,False,LZ-1,True,1,B1040,4.0,True RTLS,1
39,2017-10-09,Falcon 9,9600.0,PO,False,VAFB SLC 4E,34.632093,-120.610829,0.9643,1,True,False,JRTI,True,1,B1041,4.0,True ASDS,1
40,2017-10-11,Falcon 9,5200.0,GTO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,2,True,True,OCISLY,True,1,B1031,3.0,True ASDS,1
41,2017-10-30,Falcon 9,3700.0,GTO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,1,True,False,OCISLY,True,0,B1042,4.0,True ASDS,1
42,2017-12-15,Falcon 9,2205.0,ISS,True,CCSFS SLC 40,28.5618571,-80.577366,0.9798,2,True,True,LZ-1,True,1,B1035,3.0,True RTLS,1
